game_id,home_score,away_score,home_score_calc_true,away_score_calc_true,home_score_calc_rule,away_score_calc_rule,both_match_true,both_match_rule
126283,1,0,1,0,2,0,True,False
126284,1,1,1,1,2,2,True,False
126285,2,0,2,0,4,0,True,False
126286,0,1,0,1,0,2,True,False
126287,1,1,1,1,2,2,True,False
126288,0,1,0,1,0,2,True,False
126289,1,1,1,1,2,2,True,False
126290,3,1,3,1,6,2,True,False
126291,2,3,2,3,4,6,True,False
126292,3,1,3,1,6,2,True,False
126294,0,0,0,0,0,0,True,True
126293,4,2,4,2,8,4,True,False
126295,1,1,1,1,2,2,True,False
126296,1,1,1,1,2,2,True,False
126297,2,0,2,0,4,0,True,False
126299,1,0,1,0,2,0,True,False
126298,1,0,1,0,2,0,True,False
126300,3,3,3,3,6,6,True,False
126302,2,0,2,0,4,0,True,False
126301,2,2,2,2,4,4,True,False
126303,0,2,0,2,0,4,True,False
126304,1,4,1,4,2,8,True,False
126305,1,1,1,1,2,2,True,False
126306,1,2,1,2,2,4,True,False
126308,2,0,2,0,4,0,True,False
126307,1,1,1,1,2,2,True,False
126312,3,0,3,0,6,0,True,False
126309,2,3,2,3,4,6,True,False
126311,2,0,2,0,4,0,True,False
126310,5,1,5,1,10,2,True,False
126313,3,0,3,0,6,0,True,False
126314,0,1,0,1,0,2,True,False
126315,2,1,2,1,4,0,True,False
126317,0,0,0,0,0,0,True,True
126316,2,3,2,3,4,6,True,False
126318,1,2,1,2,2,4,True,False
126320,2,4,2,4,4,8,True,False
126319,2,1,2,1,4,2,True,False
126321,4,0,4,0,8,0,True,False
126322,0,2,0,2,0,4,True,False
126323,1,0,1,0,2,0,True,False
126324,1,1,1,1,2,2,True,False
126326,2,1,2,1,4,2,True,False
126327,0,0,0,0,0,0,True,True
126328,2,3,2,3,4,6,True,False
126329,4,1,4,1,8,2,True,False
126330,0,0,0,0,0,0,True,True
126331,3,1,3,1,6,2,True,False
126333,1,0,1,0,2,0,True,False
126332,1,2,1,2,2,4,True,False
126334,0,0,0,0,0,0,True,True
126335,2,2,2,2,4,4,True,False
126336,3,1,3,1,6,2,True,False
126337,0,0,0,0,0,0,True,True
126338,0,2,0,2,0,4,True,False
126342,2,4,2,4,4,8,True,False
126341,1,3,1,3,2,4,True,False
126340,3,0,3,0,6,0,True,False
126339,1,2,1,2,2,4,True,False
126343,0,1,0,1,0,2,True,False
126344,1,0,1,0,2,0,True,False
126345,1,2,1,2,2,4,True,False
126346,2,2,2,2,4,4,True,False
126347,1,0,1,0,2,0,True,False
126348,2,1,2,1,4,2,True,False
126349,1,2,1,2,2,4,True,False
126350,3,2,3,2,6,4,True,False
126351,3,3,3,3,6,6,True,False
126352,2,3,2,3,4,6,True,False
126354,1,1,1,1,2,2,True,False
126353,2,2,2,2,4,4,True,False
126325,2,1,2,1,4,2,True,False
126355,0,1,0,1,0,2,True,False
126357,1,0,1,0,2,0,True,False
126358,1,2,1,2,2,2,True,False
126359,1,0,1,0,2,0,True,False
126356,0,3,0,3,0,6,True,False
126360,1,0,1,0,2,0,True,False
126361,0,0,0,0,0,0,True,True
126362,4,1,4,1,8,2,True,False
126364,1,1,1,1,2,2,True,False
126363,2,2,2,2,2,4,True,False
126365,1,2,1,2,2,4,True,False
126366,1,0,1,0,2,0,True,False
126368,0,0,0,0,0,0,True,True
126367,0,1,0,1,0,2,True,False
126369,1,1,1,1,2,2,True,False
126372,2,1,2,1,4,2,True,False
126370,0,1,0,1,0,2,True,False
126371,2,0,2,0,4,0,True,False
126373,1,0,1,0,2,0,True,False
126375,3,1,3,1,6,2,True,False
126374,3,1,3,1,6,2,True,False
126376,1,0,1,0,2,0,True,False
126377,1,2,1,2,2,4,True,False
126378,1,2,1,2,2,4,True,False
126379,1,1,1,1,2,0,True,False
126380,2,0,2,0,4,0,True,False
126381,3,1,3,1,6,2,True,False
126383,2,2,2,2,4,4,True,False
126382,2,2,2,2,2,4,True,False
126384,1,0,1,0,2,0,True,False
126385,3,0,3,0,6,0,True,False
126387,2,3,2,3,4,6,True,False
126386,2,1,2,1,4,2,True,False
126388,3,0,3,0,6,0,True,False
126390,2,3,2,3,4,6,True,False
126389,1,3,1,3,2,6,True,False
126392,2,0,2,0,4,0,True,False
126391,1,0,1,0,2,0,True,False
126393,1,0,1,0,2,0,True,False
126396,1,0,1,0,2,0,True,False
126395,2,0,2,0,4,0,True,False
126394,1,1,1,1,2,2,True,False
126397,2,0,2,0,4,0,True,False
126398,1,5,1,5,2,10,True,False
126399,0,2,0,2,0,4,True,False
126400,2,1,2,1,4,2,True,False
126402,0,1,0,1,0,2,True,False
126401,2,1,2,1,4,2,True,False
126403,1,1,1,1,2,2,True,False
126404,1,1,1,1,2,2,True,False
126405,3,2,3,2,6,4,True,False
126406,3,3,3,3,6,6,True,False
126408,2,0,2,0,2,0,True,True
126407,2,2,2,2,4,4,True,False
126410,2,3,2,3,2,4,True,False
126409,0,0,0,0,0,0,True,True
126412,2,0,2,0,4,0,True,False
126414,2,1,2,1,4,2,True,False
126413,2,1,2,1,4,2,True,False
126411,0,1,0,1,0,2,True,False
126415,1,0,1,0,2,0,True,False
126416,1,1,1,1,2,2,True,False
126417,2,1,2,1,4,2,True,False
126419,2,2,2,2,4,4,True,False
126420,4,0,4,0,8,0,True,False
126418,0,2,0,2,0,2,True,True
126421,2,0,2,0,4,0,True,False
126422,4,0,4,0,6,0,True,False
126426,1,2,1,2,2,4,True,False
126424,0,1,0,1,0,2,True,False
126423,1,4,1,4,2,8,True,False
126425,1,0,1,0,2,0,True,False
126428,4,2,4,2,8,4,True,False
126427,1,0,1,0,2,0,True,False
126429,1,0,1,0,2,0,True,False
126431,0,1,0,1,0,2,True,False
126430,1,1,1,1,2,2,True,False
126432,1,2,1,2,2,4,True,False
126434,1,2,1,2,0,4,True,False
126433,0,1,0,1,0,2,True,False
126435,1,0,1,0,0,0,True,False
126436,0,1,0,1,0,2,True,False
126437,1,2,1,2,2,4,True,False
126438,1,2,1,2,2,4,True,False
126439,3,0,3,0,6,0,True,False
126440,1,0,1,0,2,0,True,False
126441,2,1,2,1,4,2,True,False
126442,2,1,2,1,4,2,True,False
126443,1,2,1,2,2,4,True,False
126444,3,2,3,2,6,2,True,False
126445,1,2,1,2,2,4,True,False
126446,0,1,0,1,0,2,True,False
126447,2,0,2,0,4,0,True,False
126450,2,2,2,2,4,2,True,False
126449,5,0,5,0,10,0,True,False
126448,0,1,0,1,0,2,True,False
126451,5,4,5,4,10,8,True,False
126452,1,2,1,2,2,4,True,False
126453,1,0,1,0,2,0,True,False
126456,2,2,2,2,2,4,True,False
126454,0,0,0,0,0,0,True,True
126455,2,0,2,0,4,0,True,False
126458,2,1,2,1,4,2,True,False
126457,2,0,2,0,4,0,True,False
126459,2,3,2,3,4,6,True,False
126461,0,6,0,6,0,12,True,False
126460,0,4,0,4,0,8,True,False
126462,2,0,2,0,4,0,True,False
126463,2,4,2,4,4,8,True,False
126464,1,1,1,1,2,2,True,False
126466,0,2,0,2,0,4,True,False
126465,2,1,2,1,2,2,True,False
126468,0,0,0,0,0,0,True,True
126467,0,0,0,0,0,0,True,True
126470,0,1,0,1,0,2,True,False
126469,1,0,1,0,2,0,True,False
126471,1,1,1,1,2,2,True,False
126472,2,1,2,1,4,2,True,False
126473,2,0,2,0,4,0,True,False
126474,1,0,1,0,2,0,True,False
126475,2,1,2,1,4,2,True,False
126477,4,3,4,3,8,6,True,False
126476,3,1,3,1,6,2,True,False
126478,1,3,1,3,2,6,True,False
126479,2,1,2,1,4,0,True,False
126480,1,1,1,1,2,2,True,False
